,index,type,id,nodes,tags,sub_id,is_reversed,length,start_node,end_node,unique_id,section_id
25,400,way,48851841,"[619777904, 4057919344, 619777907, 619777921, 620401517, 620401521]","{'bicycle': 'no', 'highway': 'footway', 'surface': 'compacted', 'width': '1.5'}",4,0,0.041449996870227004,619777904,620401521,4885184140,488518414
26,429,way,48851843,"[620401521, 616593888]","{'bicycle': 'no', 'highway': 'footway', 'surface': 'compacted', 'width': '2'}",5,0,0.013280849506706001,620401521,616593888,4885184350,488518435
27,115,way,48893635,"[616593888, 620401523, 620401511, 8065152824]","{'highway': 'footway', 'surface': 'compacted', 'width': '3'}",1,0,0.016626901995993003,616593888,8065152824,4889363510,488936351
28,203,way,865287704,"[8065152824, 8065152825, 8065152826, 8065152827, 8065152828, 8065152829, 8065152830, 8065152831, 8065152832, 8065152833, 8065152834, 8065152835, 8065152836, 8065152837, 8065152838, 8065152839, 8065152840, 8065152841, 8065152842, 8065152843, 8065152844, 8065152845, 8065152846, 8065152847]",{'highway': 'footway'},0,0,0.040514273372957,8065152824,8065152847,86528770400,8652877040
29,286,way,48893633,"[8065152847, 4057919144, 620401516]","{'highway': 'footway', 'surface': 'compacted', 'width': '1.5'}",2,0,0.02626032632601,8065152847,620401516,4889363320,488936332
30,113,way,48893632,"[620401516, 620401526, 620401530, 4057919137, 620401510, 4057919136]","{'highway': 'footway', 'surface': 'compacted', 'width': '1.5'}",0,0,0.023666058717214,620401516,4057919136,4889363200,488936320
31,877,way,8068250,"[4057919136, 1014998381, 1014998390, 4057919131, 446138395]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",5,1,0.08279739761874301,4057919136,446138395,806825051,80682505
32,60,way,42110530,"[446138395, 4057919138]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'yes', 'surface': 'asphalt', 'width': '2.5'}",0,0,0.0029723244079940003,446138395,4057919138,4211053000,421105300
33,208,way,938103471,"[4057919138, 8690937472, 461606162, 461606173, 461606175, 5626447474]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'yes', 'surface': 'compacted', 'width': '2.5'}",1,0,0.08539209187634901,4057919138,5626447474,93810347110,9381034711
34,198,way,589209945,"[5626447474, 5626447470]","{'highway': 'path', 'surface': 'compacted'}",0,0,0.013069046096223001,5626447474,5626447470,58920994500,5892099450
35,719,way,17438418,"[5626447470, 4057919331, 4057919297]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'yes', 'surface': 'compacted', 'width': '2.5'}",2,1,0.06291444122994201,5626447470,4057919297,1743841821,174384182
36,519,way,17438418,"[4057919297, 4057919186, 180446005]","{'bicycle': 'yes', 'highway': 'footway', 'lit': 'yes', 'surface': 'compacted', 'width': '2.5'}",1,1,0.013517689403226,4057919297,180446005,1743841811,174384181
37,870,way,111499289,"[180446005, 3394695350]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",4,1,0.004067184750532,180446005,3394695350,11149928941,1114992894
38,829,way,111499289,"[3394695350, 60779193]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",3,1,0.055130724721951005,3394695350,60779193,11149928931,1114992893
39,754,way,111499289,"[60779193, 5626447472, 60358403]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",2,1,0.068994376338286,60779193,60358403,11149928921,1114992892
40,588,way,111499289,"[60358403, 60358414]","{'bicycle': 'permissive', 'foot': 'permissive', 'highway': 'service', 'lit': 'yes', 'maxspeed': '10', 'motor_vehicle': 'destination', 'name': 'Schlossgarten', 'surface': 'asphalt'}",1,1,0.013090929502162,60358403,60358414,11149928911,1114992891
